0// Mod Name & Description
henpemaz_rainmeadow-name|Rain Meadow
Programming, modsync|Programación, sincronización de mods
Programming, story, arena|Programación, historia, arena
Programming, UI, chat|Programación, IU, chat
Illustration|Ilustración
Programming, UI, menus|Programación, IU, menús
Programming, UI, story|Programación, IU, historia
Programming, UI, LAN|Programación, IU, LAN
Thank you playtesters from the Rain Meadow discord as well.|Gracias también a los playtesters del discord de Rain Meadow.

// misc
Players|Jugadores
CONFIRM|CONFIRMAR
Leaving Lobby|Saliendo de la sala
You were removed from the previous online game|Has sido echado de la partida en línea anterior.
This player does not have a profile.|Este jugador no tiene un perfil.
Steam is not currently available. Some features of Rain Meadow have been disabled.|Steam no está disponible actualmente.<LINE>Algunas características de Rain Meadow han sido desactivadas.
Rain Meadow failed to start|Rain Meadow no se ha iniciado correctamente.
Rain Meadow: Please use an external mod to access Inv's campaign.|Rain Meadow: Por favor, usa un mod externo para acceder a la campaña de Inv.
